gene	gene_name	gene_type	chr	start	end	strand	length	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
ENSG00000004478.5	FKBP4	protein_coding	chr12	2904119	2914576	+	3958	3674	10524	3601	10053	2374	7882	2338	14315	2478	14267	4238	10407
ENSG00000004487.11	KDM1A	protein_coding	chr1	23345941	23410182	+	5447	2394	2043	2401	2056	2282	2565	2407	2355	2429	2296	2631	2459
ENSG00000004534.10	RBM6	protein_coding	chr3	49977440	50137478	+	7300	14795	10518	13466	9617	6245	6726	12176	9685	13917	10014	9463	7718
ENSG00000004660.10	CAMKK1	protein_coding	chr17	3763609	3798185	-	7424	800	972	733	1055	1323	906	635	1415	783	1424	1405	955
ENSG00000004700.11	RECQL	protein_coding	chr12	21621845	21654603	-	3778	2130	1639	2128	1481	2706	2698	2204	1831	2332	1860	2972	2960
ENSG00000004766.11	CCDC132	protein_coding	chr7	92861653	92988338	+	7359	1164	1000	1211	945	1112	1272	1146	1371	1233	1322	1389	1582
ENSG00000004777.14	ARHGAP33	protein_coding	chr19	36265434	36279724	+	5260	426	143	463	153	262	161	325	29	408	26	194	59
ENSG00000004779.5	NDUFAB1	protein_coding	chr16	23592323	23607677	-	1600	1377	2168	1327	2092	717	1552	653	2236	692	2245	735	1530
ENSG00000004799.7	PDK4	protein_coding	chr7	95212811	95225803	-	4519	171	1	146	2	44	6	222	2	242	7	146	6
ENSG00000004809.9	SLC22A16	protein_coding	chr6	110745890	110797844	-	3791	1	3	0	2	3	6	0	0	0	0	0	2
ENSG00000004838.9	ZMYND10	protein_coding	chr3	50378541	50384283	-	4009	76	27	100	46	49	37	96	22	117	31	68	20
ENSG00000004864.9	SLC25A13	protein_coding	chr7	95749532	95951459	-	3710	647	1298	704	1114	290	757	445	1275	553	1285	489	1024
ENSG00000004866.14	ST7	protein_coding	chr7	116593292	116870157	+	6742	167	309	201	219	171	220	96	236	105	241	151	207
ENSG00000004897.7	CDC27	protein_coding	chr17	45195069	45266788	-	6824	2224	1808	2106	1570	1626	1730	2114	1688	2191	1683	2054	2081
ENSG00000004961.10	HCCS	protein_coding	chrX	11129421	11141198	+	2335	727	1006	695	960	524	988	631	1595	605	1594	739	1200
ENSG00000004975.7	DVL2	protein_coding	chr17	7128660	7137864	-	5350	1649	1593	1675	1597	1969	2296	1728	1885	1710	1869	1927	2099
ENSG00000005001.5	PRSS22	protein_coding	chr16	2902728	2908171	-	2387	6	5	4	2	3	4	0	0	0	0	0	0
ENSG00000005007.8	UPF1	protein_coding	chr19	18942747	18979045	+	8600	4697	6295	4590	6565	4184	6101	4132	9877	4178	9645	4638	6263
ENSG00000005020.8	SKAP2	protein_coding	chr7	26706681	27034858	-	5520	2655	1572	2655	1635	2339	2549	2820	1652	2999	1660	2739	2701
ENSG00000005022.5	SLC25A5	protein_coding	chrX	118602363	118605282	+	1500	7030	8400	6547	7277	2637	5166	3807	9499	3932	9416	3459	5724
ENSG00000005059.11	CCDC109B	protein_coding	chr4	110481361	110609874	+	3558	1780	499	1676	465	2141	1314	1763	196	1825	176	1996	793
ENSG00000005075.11	POLR2J	protein_coding	chr7	102113565	102119354	-	962	419	436	390	419	282	396	272	365	217	331	228	296
ENSG00000005100.8	DHX33	protein_coding	chr17	5344232	5372380	-	5872	1711	4877	1657	4739	799	2973	1104	6568	1264	6955	1370	3870
ENSG00000005102.8	MEOX1	protein_coding	chr17	41717756	41739322	-	2707	13	10	3	11	2	2	0	0	5	0	2	0
ENSG00000005108.11	THSD7A	protein_coding	chr7	11409984	11871824	-	10923	1	0	0	2	17	24	0	0	2	1	0	4
ENSG00000005156.7	LIG3	protein_coding	chr17	33307513	33332083	+	8240	1092	1879	1002	2003	804	2007	931	3486	929	3530	1134	2533
ENSG00000005175.5	RPAP3	protein_coding	chr12	48057070	48099844	-	3343	1466	1777	1433	1534	1060	1569	1450	2178	1442	2147	1583	1989
ENSG00000005187.7	ACSM3	protein_coding	chr16	20621565	20808903	+	5095	301	52	300	40	140	55	381	38	424	29	255	53
ENSG00000005189.15	AC004381.6	protein_coding	chr16	20817751	20860987	+	4111	92	76	74	37	39	45	23	19	23	26	23	26
ENSG00000005194.10	CIAPIN1	protein_coding	chr16	57462081	57481440	-	3509	1257	2231	1173	2161	826	1977	773	2420	772	2599	897	1930
ENSG00000005206.12	SPPL2B	processed_transcript	chr19	2328614	2355099	+	7096	10069	2628	9622	2777	5250	2299	7657	2264	8513	2456	6146	1600
ENSG00000005238.15	FAM214B	protein_coding	chr9	35104109	35116338	-	6409	444	153	377	157	698	322	333	73	298	61	726	246
ENSG00000005243.5	COPZ2	protein_coding	chr17	46103533	46115392	-	1847	29	34	26	37	15	52	20	33	20	24	35	49
ENSG00000005249.8	PRKAR2B	protein_coding	chr7	106685094	106802256	+	4318	76	51	82	43	41	18	38	18	38	23	41	29
ENSG00000005302.13	MSL3	protein_coding	chrX	11776278	11793870	+	6494	4050	3641	4291	3584	3877	3436	4071	2140	4588	2121	4373	2348
ENSG00000005339.8	CREBBP	protein_coding	chr16	3775055	3930727	-	15068	6408	3920	6294	4125	6364	6136	9925	6992	9930	6023	9232	7899
ENSG00000005379.11	BZRAP1	protein_coding	chr17	56378592	56406152	-	11382	1149	717	1048	670	1060	772	866	230	991	219	715	322
ENSG00000005381.6	MPO	protein_coding	chr17	56347217	56358296	-	3622	27	12	24	11	8	4	0	1	0	1	0	0
ENSG00000005436.9	GCFC2	protein_coding	chr2	75879126	75938115	-	5465	916	1899	866	1780	488	1145	731	2711	785	2604	653	1504
ENSG00000005448.12	WDR54	protein_coding	chr2	74648805	74652882	+	2860	844	297	812	260	774	458	869	124	928	115	703	247
ENSG00000005469.7	CROT	protein_coding	chr7	86974997	87029111	+	4979	439	250	457	193	480	299	383	143	433	125	410	230
ENSG00000005471.11	ABCB4	protein_coding	chr7	87031013	87109751	-	7494	937	320	1017	388	636	809	1151	683	1267	631	914	910
ENSG00000005483.15	KMT2E	protein_coding	chr7	104654626	104754808	+	9227	6586	4179	6658	4470	7342	7549	9822	6932	10497	6822	10598	9568
ENSG00000005486.12	RHBDD2	protein_coding	chr7	75471920	75518244	+	2441	899	671	873	686	1076	1044	736	830	698	766	928	923
ENSG00000005513.9	SOX8	protein_coding	chr16	1031808	1036979	+	4432	37	62	33	54	40	60	12	51	10	50	28	39
ENSG00000005700.10	IBTK	protein_coding	chr6	82879700	82957471	-	8722	1861	2425	1810	2368	2055	3142	1924	2997	2040	3164	2534	3245
ENSG00000005801.12	ZNF195	protein_coding	chr11	3360491	3400448	-	5705	1517	2314	1376	2010	993	1582	1058	2170	1130	2279	1181	1854
ENSG00000005810.13	MYCBP2	protein_coding	chr13	77618792	77901185	-	15943	7125	5823	7549	5925	5993	6914	13155	11007	13378	10985	10211	10121
ENSG00000005812.6	FBXL3	protein_coding	chr13	77566740	77601330	-	4651	2687	1513	2494	1579	2492	2250	3563	2234	3559	2139	3776	2876
ENSG00000005844.13	ITGAL	protein_coding	chr16	30483979	30534506	+	6472	9198	3677	8677	2844	12189	6803	5341	468	5747	465	5225	908
ENSG00000005882.7	PDK2	protein_coding	chr17	48172101	48189516	+	5481	370	85	374	93	430	246	357	58	324	64	361	119
ENSG00000005884.13	ITGA3	protein_coding	chr17	48133332	48167845	+	9802	369	423	357	442	547	838	233	325	242	350	422	530
ENSG00000005889.11	ZFX	protein_coding	chrX	24167290	24234372	+	9037	1732	1900	1902	1987	1416	1934	2096	2786	2251	2856	2263	2444
ENSG00000005893.11	LAMP2	protein_coding	chrX	119561682	119603220	-	5617	2105	2527	2082	2646	2702	3513	2269	4102	2304	4116	2873	4228
ENSG00000005955.8	GGNBP2	protein_coding	chr17	34900737	34946278	+	9729	3391	3112	3389	2971	2996	3880	3391	3726	3656	3561	4016	4243
ENSG00000005961.13	ITGA2B	protein_coding	chr17	42449548	42466873	-	5551	18	30	18	19	11	5	2	2	5	2	7	1
ENSG00000006007.7	GDE1	protein_coding	chr16	19513015	19533467	-	4412	738	601	758	664	1005	993	742	805	758	788	1025	959
ENSG00000006015.13	C19orf60	protein_coding	chr19	18699495	18703146	+	3370	2220	1447	2109	1542	1850	1623	994	825	1048	946	1232	918
ENSG00000006016.6	CRLF1	protein_coding	chr19	18683030	18718551	-	3018	63	110	42	102	27	68	36	111	38	138	34	61
ENSG00000006025.7	OSBPL7	protein_coding	chr17	45884738	45899200	-	6572	1610	723	1480	780	1340	1025	1218	450	1342	542	1100	553
ENSG00000006042.7	TMEM98	protein_coding	chr17	31254928	31272124	+	5187	0	2	1	1	0	1	0	1	1	0	1	0
ENSG00000006047.8	YBX2	protein_coding	chr17	7191571	7197934	-	4618	9	7	8	4	8	4	1	6	0	1	4	3
ENSG00000006062.9	MAP3K14	processed_transcript	chr17	43340488	43394414	-	5132	2874	1049	2741	1093	2246	1226	3044	1124	3019	1003	2963	1247
ENSG00000006071.7	ABCC8	protein_coding	chr11	17414432	17498449	-	6835	14	4	18	0	4	0	0	0	1	0	1	0
ENSG00000006074.4	CCL18	protein_coding	chr17	34391640	34399392	+	1397	10	8	7	5	8	7	1	2	4	5	0	11
ENSG00000006075.11	CCL3	protein_coding	chr17	34415602	34417515	-	1494	939	2958	892	3151	48	1686	395	6998	496	6930	400	1563
ENSG00000006114.11	SYNRG	protein_coding	chr17	35874900	35969544	-	14277	4462	2587	4777	2572	4055	3531	5060	3115	5507	3102	4443	3534
ENSG00000006118.10	TMEM132A	protein_coding	chr11	60691935	60704631	+	7271	407	34	513	38	48	26	351	52	356	56	84	42
ENSG00000006125.12	AP2B1	protein_coding	chr17	33905065	34053436	+	7797	5640	5002	5549	4998	7904	8596	6058	6125	6327	5944	7750	8726
ENSG00000006128.7	TAC1	protein_coding	chr7	97361220	97369784	+	1888	7	5	21	4	6	20	1	3	5	9	42	84
ENSG00000006194.6	ZNF263	protein_coding	chr16	3313743	3351401	+	9329	2088	3447	2031	3526	1735	2958	2129	5537	2283	5407	2433	3487
ENSG00000006210.6	CX3CL1	protein_coding	chr16	57406370	57418960	+	5983	10	1	10	1	2	1	5	0	5	2	4	4
ENSG00000006282.15	SPATA20	protein_coding	chr17	48620419	48633213	+	5237	2897	1804	2841	1844	1803	1584	483	185	565	205	474	193
ENSG00000006283.13	CACNA1G	protein_coding	chr17	48638429	48704835	+	9709	1	2	2	4	1	5	0	6	0	5	2	5
ENSG00000006327.9	TNFRSF12A	protein_coding	chr16	3068446	3072384	+	1848	30	16	17	27	57	46	16	12	14	9	88	53
ENSG00000006432.11	MAP3K9	protein_coding	chr14	71189243	71276251	-	12386	1069	367	1200	326	802	634	2031	504	2064	439	1462	885
ENSG00000006451.3	RALA	protein_coding	chr7	39663082	39747723	+	3665	2073	3445	2085	3339	4992	7359	1594	3958	1625	4171	4936	9665
ENSG00000006453.9	BAIAP2L1	protein_coding	chr7	97920963	98030380	-	4798	61	277	49	317	45	197	71	586	76	532	52	157
ENSG00000006459.6	JHDM1D	protein_coding	chr7	139784546	139876835	-	9430	2811	479	3244	551	2077	927	5765	252	6436	248	2831	1001
ENSG00000006530.11	AGK	protein_coding	chr7	141250989	141355044	+	6547	1818	1694	1880	1527	1086	1265	1674	1530	1866	1708	1357	1158
ENSG00000006534.11	ALDH3B1	protein_coding	chr11	67776048	67796744	+	6621	125	103	143	107	57	37	50	103	90	105	37	22
ENSG00000006555.6	TTC22	protein_coding	chr1	55245385	55266940	-	6055	239	148	246	166	399	291	234	134	253	124	339	145
ENSG00000006576.12	PHTF2	protein_coding	chr7	77428122	77586818	+	8631	2730	992	2418	864	1312	1066	3151	794	3447	751	2033	1272
ENSG00000006607.9	FARP2	protein_coding	chr2	242295658	242434256	+	14413	1248	1337	1385	1352	943	1314	1883	2020	2027	2101	1870	2090
ENSG00000006625.13	GGCT	protein_coding	chr7	30536237	30591095	-	1905	1026	1339	981	1114	423	781	537	1041	572	1027	542	806
ENSG00000006634.3	DBF4	protein_coding	chr7	87505531	87538856	+	4583	749	936	627	741	412	803	466	952	506	985	500	893
ENSG00000006638.7	TBXA2R	protein_coding	chr19	3594504	3606838	-	2793	160	44	181	53	34	22	132	14	140	8	56	10
ENSG00000006652.9	IFRD1	protein_coding	chr7	112063023	112121072	+	6481	1286	1572	1256	1438	1309	1855	870	2289	895	2136	1572	2276
ENSG00000006695.6	COX10	protein_coding	chr17	13972813	14111994	+	3172	459	760	474	748	326	788	390	1015	402	1039	368	743
ENSG00000006704.6	GTF2IRD1	protein_coding	chr7	73868120	74016931	+	6498	129	165	154	220	374	390	110	723	121	650	382	937
ENSG00000006712.10	PAF1	protein_coding	chr19	39876492	39881835	-	2668	2733	2582	2538	2356	1947	2608	2367	3238	2275	3216	2578	2956
ENSG00000006715.11	VPS41	protein_coding	chr7	38762563	38971994	-	7801	2287	1606	2278	1517	1958	2285	2606	1971	2803	1877	2304	2422
ENSG00000006740.12	ARHGAP44	protein_coding	chr17	12692856	12894960	+	9281	281	136	302	94	113	100	142	65	151	74	94	69
ENSG00000006744.14	ELAC2	protein_coding	chr17	12895708	12921504	-	6345	3116	4624	3121	4377	1829	3996	2011	4742	2127	4755	2113	3712
ENSG00000006747.10	SCIN	protein_coding	chr7	12610203	12693228	+	5048	38	13	45	13	33	16	47	4	39	3	20	11
ENSG00000006756.11	ARSD	protein_coding	chrX	2822011	2847392	-	7030	731	201	642	211	627	536	473	100	525	84	518	253
ENSG00000006757.7	PNPLA4	protein_coding	chrX	7866288	7895780	-	3441	162	220	217	208	199	243	160	212	170	253	137	156
ENSG00000006831.9	ADIPOR2	protein_coding	chr12	1797740	1897844	+	5878	2633	3587	2481	3438	1721	3470	2216	4418	2288	4380	2379	4043
ENSG00000006837.7	CDKL3	protein_coding	chr5	133541305	133706738	-	3681	17	13	13	9	12	23	14	17	19	28	14	17
ENSG00000007038.6	PRSS21	protein_coding	chr16	2867164	2876305	+	1984	42	93	34	94	13	44	20	83	31	89	10	19
ENSG00000007047.10	MARK4	protein_coding	chr19	45582546	45808541	+	6668	474	424	542	454	596	744	661	768	617	628	814	824
ENSG00000007062.7	PROM1	protein_coding	chr4	15964699	16086001	-	7465	12	13	6	12	44	27	0	2	1	1	1	0
ENSG00000007080.6	CCDC124	protein_coding	chr19	18043825	18054800	+	1660	1435	2222	1241	2276	737	1998	673	2410	722	2385	757	1806
ENSG00000007129.13	CEACAM21	protein_coding	chr19	42055886	42093197	+	1926	330	106	312	110	200	137	225	34	240	26	147	62
ENSG00000007168.8	PAFAH1B1	protein_coding	chr17	2496504	2588909	+	8127	5071	4317	5249	4081	5305	5825	5564	4661	5873	4553	6164	5665
ENSG00000007171.12	NOS2	protein_coding	chr17	26083792	26127525	-	4176	4	0	2	1	4	1	4	4	4	2	5	4
ENSG00000007202.10	KIAA0100	protein_coding	chr17	26941458	26972472	-	9235	5598	6660	5693	6233	3898	6552	5751	8578	5958	8754	5411	6839
ENSG00000007237.14	GAS7	protein_coding	chr17	9813926	10101868	-	10100	741	354	766	277	445	627	780	617	808	551	929	1308
ENSG00000007255.6	TRAPPC6A	protein_coding	chr19	45666186	45681495	-	933	524	513	547	496	530	560	373	442	432	453	334	361
ENSG00000007264.9	MATK	protein_coding	chr19	3777971	3802127	-	4138	406	426	313	454	45	162	150	499	142	549	72	228
ENSG00000007312.8	CD79B	protein_coding	chr17	62006100	62009714	-	2080	14793	289	13648	293	5724	1148	19635	685	19638	510	10052	993
ENSG00000007314.7	SCN4A	protein_coding	chr17	62015914	62050278	-	8247	146	14	150	14	19	10	186	32	190	41	40	7
ENSG00000007341.14	ST7L	protein_coding	chr1	113066140	113163447	-	8111	194	131	228	123	146	144	210	148	222	157	197	165
ENSG00000007350.12	TKTL1	protein_coding	chrX	153524024	153558700	+	3650	27	9	24	10	8	4	6	2	4	3	3	7
ENSG00000007372.16	PAX6	protein_coding	chr11	31806340	31839509	-	14776	69	68	88	61	109	94	61	40	73	49	82	59
ENSG00000007376.3	RPUSD1	protein_coding	chr16	834974	838397	-	2769	956	1041	937	1023	685	926	710	1177	678	992	742	897
ENSG00000007384.11	RHBDF1	protein_coding	chr16	108058	126354	-	5104	36	34	44	39	375	275	9	33	16	33	392	296
ENSG00000007392.12	LUC7L	protein_coding	chr16	238968	279462	-	6176	5978	4469	5564	4450	2619	2946	4316	4194	4675	4243	3907	3606
ENSG00000007402.7	CACNA2D2	protein_coding	chr3	50400233	50541675	-	6319	81	26	90	26	85	50	160	19	107	18	133	33
ENSG00000007516.9	BAIAP3	protein_coding	chr16	1383602	1399439	+	6143	3126	339	3111	320	2102	483	1984	211	2296	217	1292	312
ENSG00000007520.3	TSR3	protein_coding	chr16	1399241	1401912	-	1243	1388	1681	1284	1796	1101	1802	915	1716	956	1623	1078	1465
ENSG00000007541.10	PIGQ	protein_coding	chr16	616995	634136	+	6869	1215	1140	1146	1273	946	1157	969	1249	1082	1267	1018	917
ENSG00000007545.11	CRAMP1L	protein_coding	chr16	1662326	1727909	+	8427	1182	946	1132	854	950	926	806	757	938	804	1113	863
ENSG00000007866.14	TEAD3	protein_coding	chr6	35441374	35464853	-	3046	11	16	10	14	18	17	8	20	4	9	20	22
ENSG00000007908.11	SELE	protein_coding	chr1	169691781	169733846	-	4586	2	0	1	3	1	1	1	3	2	5	0	0
ENSG00000007923.11	DNAJC11	protein_coding	chr1	6694228	6761984	-	5147	1449	2398	1448	2324	769	1736	1041	3099	1101	3187	1047	1975
ENSG00000007944.10	MYLIP	protein_coding	chr6	16129356	16148479	+	3033	635	246	677	233	600	282	3395	349	3627	277	1338	469
ENSG00000007952.13	NOX1	protein_coding	chrX	100098313	100129334	-	2529	10	20	13	18	7	12	7	21	6	15	7	8
ENSG00000007968.6	E2F2	protein_coding	chr1	23832922	23857712	-	5457	391	105	334	93	16	20	196	44	180	54	33	7
ENSG00000008018.8	PSMB1	protein_coding	chr6	170844205	170862429	-	2256	4098	5476	3974	5041	2923	5281	2760	6109	2982	6140	3508	5685
ENSG00000008056.8	SYN1	protein_coding	chrX	47431303	47479252	-	3203	4	7	3	3	6	6	1	0	2	1	0	2
ENSG00000008083.9	JARID2	protein_coding	chr6	15246527	15522252	+	6490	2440	1201	2408	1234	2393	3850	3198	1251	3218	1233	3139	4276
ENSG00000008086.6	CDKL5	protein_coding	chrX	18443703	18671749	+	3576	20	7	31	11	52	33	51	31	46	24	81	58
ENSG00000008118.5	CAMK1G	protein_coding	chr1	209757062	209787283	+	2676	4	15	3	18	2	15	0	4	3	11	1	2
ENSG00000008128.18	CDK11A	protein_coding	chr1	1634169	1655766	-	4707	448	310	406	317	320	362	288	288	343	240	305	245
ENSG00000008130.11	NADK	protein_coding	chr1	1682671	1711896	-	5637	4149	3866	3905	3824	2005	3080	3018	3947	3149	4019	2165	2984
ENSG00000008226.15	DLEC1	protein_coding	chr3	38080696	38165516	+	8338	92	56	105	81	100	66	46	16	40	20	41	15
ENSG00000008256.11	CYTH3	protein_coding	chr7	6201407	6312275	-	5805	578	222	505	208	939	584	439	195	407	193	661	490
ENSG00000008277.10	ADAM22	protein_coding	chr7	87563458	87832204	+	12217	129	82	125	69	108	90	127	91	176	87	160	73
ENSG00000008282.3	SYPL1	protein_coding	chr7	105730949	105753022	-	2794	2715	1176	2775	1303	2792	2154	4153	1787	4304	1733	3580	2679
ENSG00000008283.11	CYB561	protein_coding	chr17	61509665	61523739	-	5320	485	1298	504	1303	261	941	130	1152	145	1239	339	1031
ENSG00000008294.16	SPAG9	protein_coding	chr17	49039535	49198226	-	11948	2257	2321	2412	2240	2507	3934	2467	4315	2684	4173	3737	6886
ENSG00000008300.10	CELSR3	protein_coding	chr3	48673902	48700348	-	13888	355	1318	324	1413	184	496	283	1242	292	1348	207	313
ENSG00000008311.10	AASS	protein_coding	chr7	121715701	121784334	-	4591	445	55	446	63	301	175	634	76	681	87	566	218
ENSG00000008324.6	SS18L2	protein_coding	chr3	42623332	42636606	+	1301	981	1251	848	1098	698	1027	669	1248	677	1188	900	1124
ENSG00000008382.11	MPND	protein_coding	chr19	4343524	4360083	+	2049	302	164	300	164	322	296	230	129	226	128	232	154
ENSG00000008394.8	MGST1	protein_coding	chr12	16500076	16762193	+	6213	139	97	119	76	118	82	63	59	68	51	10	6
ENSG00000008405.7	CRY1	protein_coding	chr12	107385142	107487607	-	5062	655	608	661	605	733	1019	523	966	519	960	962	1310
ENSG00000008438.4	PGLYRP1	protein_coding	chr19	46522411	46526323	-	720	10	6	1	6	0	4	0	6	5	6	1	1
ENSG00000008441.12	NFIX	protein_coding	chr19	13106422	13209610	+	6302	230	282	271	303	114	172	337	551	311	542	230	269
ENSG00000008513.10	ST3GAL1	protein_coding	chr8	134467091	134584183	-	8730	3108	1022	3280	1092	1918	1578	4792	1186	4782	1010	1925	1406
ENSG00000008516.12	MMP25	protein_coding	chr16	3096682	3110727	+	4126	41	74	46	55	27	43	38	10	25	11	4	9
ENSG00000008517.12	IL32	protein_coding	chr16	3115298	3131908	+	2924	761	1181	796	1222	1424	2574	352	748	404	784	157	179
ENSG00000008710.13	PKD1	protein_coding	chr16	2138711	2185899	-	18532	3207	3248	3293	3509	3100	3636	2839	3344	2973	3432	2870	2746
ENSG00000008735.10	MAPK8IP2	protein_coding	chr22	51039114	51052409	+	6107	19	18	9	29	17	34	11	18	11	13	18	28
ENSG00000008838.13	MED24	protein_coding	chr17	38175350	38217468	-	6962	3297	3213	3116	3198	2264	2938	2567	3464	2745	3544	2638	2870
