gene	gene_name	gene_type	chr	start	end	strand	length	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12
ENSG00000005381.6	MPO	protein_coding	chr17	56347217	56358296	-	3622	0.273	0.12	0.241	0.112	0.102	0.04	0	0.009	0	0.009	0	0
ENSG00000005436.9	GCFC2	protein_coding	chr2	75879126	75938115	-	5465	6.132	12.603	5.771	12.051	4.12	7.637	5.303	15.603	5.381	14.873	4.698	9.754
ENSG00000005448.12	WDR54	protein_coding	chr2	74648805	74652882	+	2860	10.796	3.766	10.339	3.364	12.486	5.837	12.046	1.364	12.155	1.255	9.664	3.061
ENSG00000005469.7	CROT	protein_coding	chr7	86974997	87029111	+	4979	3.226	1.821	3.342	1.434	4.448	2.189	3.05	0.903	3.258	0.784	3.238	1.637
ENSG00000005471.11	ABCB4	protein_coding	chr7	87031013	87109751	-	7494	4.574	1.549	4.942	1.916	3.915	3.935	6.089	2.867	6.333	2.628	4.795	4.304
ENSG00000005483.15	KMT2E	protein_coding	chr7	104654626	104754808	+	9227	26.113	16.426	26.277	17.924	36.711	29.822	42.2	23.631	42.617	23.077	45.159	36.751
ENSG00000005486.12	RHBDD2	protein_coding	chr7	75471920	75518244	+	2441	13.474	9.97	13.024	10.398	20.337	15.59	11.953	10.695	10.712	9.795	14.947	13.401
ENSG00000005513.9	SOX8	protein_coding	chr16	1031808	1036979	+	4432	0.305	0.507	0.271	0.451	0.416	0.493	0.107	0.362	0.085	0.352	0.248	0.312
ENSG00000005700.10	IBTK	protein_coding	chr6	82879700	82957471	-	8722	7.806	10.084	7.557	10.045	10.87	13.131	8.745	10.808	8.762	11.323	11.423	13.186
ENSG00000005801.12	ZNF195	protein_coding	chr11	3360491	3400448	-	5705	9.728	14.711	8.783	13.036	8.03	10.108	7.352	11.964	7.42	12.469	8.139	11.518
ENSG00000005810.13	MYCBP2	protein_coding	chr13	77618792	77901185	-	15943	16.35	13.247	17.243	13.75	17.343	15.807	32.711	21.716	31.434	21.506	25.181	22.499
ENSG00000005812.6	FBXL3	protein_coding	chr13	77566740	77601330	-	4651	21.136	11.798	19.527	12.561	24.72	17.634	30.37	15.108	28.666	14.355	31.92	21.916
ENSG00000005844.13	ITGAL	protein_coding	chr16	30483979	30534506	+	6472	51.993	20.606	48.822	16.259	86.89	38.315	32.716	2.275	33.265	2.243	31.741	4.972
ENSG00000005882.7	PDK2	protein_coding	chr17	48172101	48189516	+	5481	2.47	0.562	2.485	0.628	3.62	1.636	2.582	0.333	2.214	0.364	2.59	0.769
ENSG00000005884.13	ITGA3	protein_coding	chr17	48133332	48167845	+	9802	1.377	1.565	1.326	1.668	2.575	3.116	0.942	1.043	0.925	1.115	1.693	1.916
ENSG00000005889.11	ZFX	protein_coding	chrX	24167290	24234372	+	9037	7.012	7.625	7.664	8.135	7.229	7.801	9.195	9.697	9.331	9.864	9.846	9.585
ENSG00000005893.11	LAMP2	protein_coding	chrX	119561682	119603220	-	5617	13.71	16.317	13.498	17.429	22.193	22.797	16.014	22.97	15.366	22.872	20.11	26.677
ENSG00000005955.8	GGNBP2	protein_coding	chr17	34900737	34946278	+	9729	12.751	11.601	12.685	11.299	14.207	14.537	13.818	12.046	14.077	11.425	16.229	15.457
ENSG00000005961.13	ITGA2B	protein_coding	chr17	42449548	42466873	-	5551	0.119	0.196	0.118	0.127	0.091	0.033	0.014	0.011	0.034	0.011	0.05	0.006
ENSG00000006007.7	GDE1	protein_coding	chr16	19513015	19533467	-	4412	6.119	4.94	6.256	5.568	10.509	8.204	6.667	5.739	6.436	5.575	9.134	7.704
ENSG00000006015.13	C19orf60	protein_coding	chr19	18699495	18703146	+	3370	24.1	15.573	22.789	16.93	25.327	17.555	11.693	7.7	11.65	8.762	14.373	9.654
ENSG00000006016.6	CRLF1	protein_coding	chr19	18683030	18718551	-	3018	0.764	1.322	0.507	1.25	0.413	0.821	0.473	1.157	0.472	1.427	0.443	0.716
ENSG00000006025.7	OSBPL7	protein_coding	chr17	45884738	45899200	-	6572	8.962	3.99	8.201	4.391	9.407	5.685	7.347	2.154	7.65	2.574	6.581	2.982
ENSG00000006042.7	TMEM98	protein_coding	chr17	31254928	31272124	+	5187	0	0.014	0.007	0.007	0	0.007	0	0.006	0.007	0	0.008	0
ENSG00000006047.8	YBX2	protein_coding	chr17	7191571	7197934	-	4618	0.071	0.055	0.063	0.032	0.08	0.032	0.009	0.041	0	0.007	0.034	0.023
ENSG00000006062.9	MAP3K14	processed_transcript	chr17	43340488	43394414	-	5132	20.488	7.413	19.45	7.88	20.191	8.708	23.514	6.889	22.037	6.1	22.7	8.612
ENSG00000006071.7	ABCC8	protein_coding	chr11	17414432	17498449	-	6835	0.075	0.021	0.096	0	0.027	0	0	0	0.005	0	0.006	0
ENSG00000006074.4	CCL18	protein_coding	chr17	34391640	34399392	+	1397	0.262	0.208	0.182	0.132	0.264	0.183	0.028	0.045	0.107	0.112	0	0.279
ENSG00000006075.11	CCL3	protein_coding	chr17	34415602	34417515	-	1494	22.994	71.809	21.742	78.036	1.482	41.135	10.481	147.334	12.437	144.783	10.527	37.078
ENSG00000006114.11	SYNRG	protein_coding	chr17	35874900	35969544	-	14277	11.434	6.572	12.184	6.665	13.104	9.015	14.05	6.863	14.45	6.782	12.235	8.773
ENSG00000006118.10	TMEM132A	protein_coding	chr11	60691935	60704631	+	7271	2.048	0.17	2.569	0.193	0.305	0.13	1.914	0.225	1.834	0.24	0.454	0.205
ENSG00000006125.12	AP2B1	protein_coding	chr17	33905065	34053436	+	7797	26.463	23.267	25.916	23.717	46.769	40.186	30.802	24.709	30.398	23.795	39.08	39.664
ENSG00000006128.7	TAC1	protein_coding	chr7	97361220	97369784	+	1888	0.136	0.096	0.405	0.078	0.147	0.386	0.021	0.05	0.099	0.149	0.875	1.577
ENSG00000006194.6	ZNF263	protein_coding	chr16	3313743	3351401	+	9329	8.188	13.401	7.928	13.984	8.58	11.558	9.047	18.669	9.167	18.091	10.254	13.247
ENSG00000006210.6	CX3CL1	protein_coding	chr16	57406370	57418960	+	5983	0.061	0.006	0.061	0.006	0.015	0.006	0.033	0	0.031	0.01	0.026	0.024
ENSG00000006282.15	SPATA20	protein_coding	chr17	48620419	48633213	+	5237	20.238	12.494	19.755	13.028	15.884	11.025	3.656	1.111	4.042	1.222	3.559	1.306
ENSG00000006283.13	CACNA1G	protein_coding	chr17	48638429	48704835	+	9709	0.004	0.007	0.008	0.015	0.005	0.019	0	0.019	0	0.016	0.008	0.018
ENSG00000006327.9	TNFRSF12A	protein_coding	chr16	3068446	3072384	+	1848	0.594	0.314	0.335	0.541	1.423	0.907	0.343	0.204	0.284	0.152	1.872	1.016
ENSG00000006432.11	MAP3K9	protein_coding	chr14	71189243	71276251	-	12386	3.157	1.075	3.528	0.974	2.987	1.866	6.501	1.28	6.242	1.106	4.641	2.532
ENSG00000006451.3	RALA	protein_coding	chr7	39663082	39747723	+	3665	20.693	34.091	20.717	33.709	62.841	73.189	17.242	33.969	16.61	35.522	52.952	93.463
ENSG00000006453.9	BAIAP2L1	protein_coding	chr7	97920963	98030380	-	4798	0.465	2.094	0.372	2.445	0.433	1.497	0.587	3.842	0.593	3.461	0.426	1.16
ENSG00000006459.6	JHDM1D	protein_coding	chr7	139784546	139876835	-	9430	10.905	1.842	12.527	2.162	10.162	3.583	24.236	0.841	25.567	0.821	11.803	3.762
ENSG00000006530.11	AGK	protein_coding	chr7	141250989	141355044	+	6547	10.159	9.384	10.457	8.63	7.653	7.043	10.137	7.351	10.677	8.143	8.149	6.269
ENSG00000006534.11	ALDH3B1	protein_coding	chr11	67776048	67796744	+	6621	0.691	0.564	0.786	0.598	0.397	0.204	0.299	0.489	0.509	0.495	0.22	0.118
ENSG00000006555.6	TTC22	protein_coding	chr1	55245385	55266940	-	6055	1.444	0.886	1.479	1.014	3.04	1.752	1.532	0.696	1.565	0.639	2.201	0.849
ENSG00000006576.12	PHTF2	protein_coding	chr7	77428122	77586818	+	8631	11.572	4.169	10.202	3.704	7.013	4.502	14.473	2.894	14.961	2.716	9.261	5.223
ENSG00000006607.9	FARP2	protein_coding	chr2	242295658	242434256	+	14413	3.168	3.364	3.499	3.471	3.019	3.323	5.179	4.408	5.268	4.55	5.101	5.139
ENSG00000006625.13	GGCT	protein_coding	chr7	30536237	30591095	-	1905	19.704	25.493	18.753	21.637	10.244	14.944	11.175	17.188	11.248	16.827	11.186	14.995
ENSG00000006634.3	DBF4	protein_coding	chr7	87505531	87538856	+	4583	5.979	7.407	4.982	5.982	4.148	6.387	4.031	6.534	4.136	6.708	4.289	6.906
ENSG00000006638.7	TBXA2R	protein_coding	chr19	3594504	3606838	-	2793	2.096	0.571	2.36	0.702	0.562	0.287	1.874	0.158	1.878	0.089	0.788	0.127
ENSG00000006652.9	IFRD1	protein_coding	chr7	112063023	112121072	+	6481	7.259	8.797	7.057	8.209	9.318	10.433	5.322	11.109	5.173	10.287	9.537	12.446
ENSG00000006695.6	COX10	protein_coding	chr17	13972813	14111994	+	3172	5.294	8.69	5.442	8.725	4.742	9.055	4.874	10.065	4.748	10.224	4.561	8.302
ENSG00000006704.6	GTF2IRD1	protein_coding	chr7	73868120	74016931	+	6498	0.726	0.921	0.863	1.253	2.655	2.188	0.671	3.5	0.698	3.122	2.311	5.111
ENSG00000006712.10	PAF1	protein_coding	chr19	39876492	39881835	-	2668	37.475	35.1	34.641	32.673	33.668	35.631	35.171	38.174	31.943	37.624	37.991	39.267
ENSG00000006715.11	VPS41	protein_coding	chr7	38762563	38971994	-	7801	10.725	7.467	10.634	7.195	11.58	10.677	13.243	7.947	13.46	7.51	11.612	11.004
ENSG00000006740.12	ARHGAP44	protein_coding	chr17	12692856	12894960	+	9281	1.108	0.531	1.185	0.375	0.562	0.393	0.607	0.22	0.609	0.249	0.398	0.263
ENSG00000006744.14	ELAC2	protein_coding	chr17	12895708	12921504	-	6345	17.966	26.431	17.912	25.524	13.299	22.956	12.565	23.508	12.558	23.391	13.093	20.734
ENSG00000006747.10	SCIN	protein_coding	chr7	12610203	12693228	+	5048	0.275	0.093	0.325	0.095	0.302	0.116	0.369	0.025	0.289	0.019	0.156	0.077
ENSG00000006756.11	ARSD	protein_coding	chrX	2822011	2847392	-	7030	3.804	1.037	3.326	1.111	4.115	2.779	2.667	0.447	2.798	0.373	2.897	1.275
ENSG00000006757.7	PNPLA4	protein_coding	chrX	7866288	7895780	-	3441	1.722	2.319	2.296	2.237	2.668	2.574	1.843	1.938	1.851	2.295	1.565	1.607
ENSG00000006831.9	ADIPOR2	protein_coding	chr12	1797740	1897844	+	5878	16.388	22.133	15.37	21.641	13.508	21.518	14.946	23.642	14.582	23.258	15.913	24.377
ENSG00000006837.7	CDKL3	protein_coding	chr5	133541305	133706738	-	3681	0.169	0.128	0.129	0.09	0.15	0.228	0.151	0.145	0.193	0.237	0.15	0.164
ENSG00000007038.6	PRSS21	protein_coding	chr16	2867164	2876305	+	1984	0.774	1.7	0.624	1.753	0.302	0.808	0.4	1.316	0.585	1.4	0.198	0.339
ENSG00000007047.10	MARK4	protein_coding	chr19	45582546	45808541	+	6668	2.601	2.306	2.96	2.519	4.124	4.067	3.93	3.623	3.466	2.94	4.8	4.38
ENSG00000007062.7	PROM1	protein_coding	chr4	15964699	16086001	-	7465	0.059	0.063	0.029	0.059	0.272	0.132	0	0.008	0.005	0.004	0.005	0
ENSG00000007080.6	CCDC124	protein_coding	chr19	18043825	18054800	+	1660	31.625	48.547	27.224	50.73	20.483	43.872	16.072	45.665	16.293	44.845	17.929	38.558
ENSG00000007129.13	CEACAM21	protein_coding	chr19	42055886	42093197	+	1926	6.268	1.996	5.899	2.113	4.791	2.593	4.631	0.555	4.668	0.421	3.001	1.141
ENSG00000007168.8	PAFAH1B1	protein_coding	chr17	2496504	2588909	+	8127	22.827	19.266	23.52	18.579	30.116	26.126	27.141	18.04	27.071	17.487	29.82	24.705
ENSG00000007171.12	NOS2	protein_coding	chr17	26083792	26127525	-	4176	0.035	0	0.017	0.009	0.044	0.009	0.038	0.03	0.036	0.015	0.047	0.034
ENSG00000007202.10	KIAA0100	protein_coding	chr17	26941458	26972472	-	9235	22.176	26.156	22.449	24.972	19.474	25.861	24.688	29.216	24.168	29.587	23.037	26.246
ENSG00000007237.14	GAS7	protein_coding	chr17	9813926	10101868	-	10100	2.684	1.271	2.762	1.015	2.033	2.263	3.062	1.922	2.997	1.703	3.616	4.59
ENSG00000007255.6	TRAPPC6A	protein_coding	chr19	45666186	45681495	-	933	20.547	19.942	21.35	19.67	26.208	21.878	15.849	14.901	17.345	15.155	14.075	13.713
ENSG00000007264.9	MATK	protein_coding	chr19	3777971	3802127	-	4138	3.589	3.734	2.754	4.059	0.502	1.427	1.437	3.793	1.286	4.141	0.684	1.953
ENSG00000007312.8	CD79B	protein_coding	chr17	62006100	62009714	-	2080	260.187	5.039	238.942	5.212	126.964	20.118	374.235	10.359	353.682	7.653	190.006	16.92
ENSG00000007314.7	SCN4A	protein_coding	chr17	62015914	62050278	-	8247	0.648	0.062	0.662	0.063	0.106	0.044	0.894	0.122	0.863	0.155	0.191	0.03
ENSG00000007341.14	ST7L	protein_coding	chr1	113066140	113163447	-	8111	0.875	0.586	1.024	0.561	0.83	0.647	1.026	0.574	1.025	0.604	0.955	0.721
